form_id, team_number, match_number, gear_bot, shot_bot, defend_bot, comments
13,1114,3,1,2,1,NULL
14,6130,3,1,0,1,NULL
15,4519,3,1,0,0,NULL
16,188,3,2,0,1,NULL
17,746,3,0,1,2,NULL
18,5036,3,2,0,0,NULL
19,6397,4,1,0,0,NULL
20,854,4,2,0,1,NULL
21,6378,4,1,0,0,NULL
22,5834,4,1,0,0,NULL
23,2609,4,2,0,0,NULL
24,1547,4,1,0,2,NULL
25,5024,5,2,0,0,NULL
26,6140,5,0,0,1,NULL
27,4001,5,1,0,0,NULL
28,5039,5,1,0,4,NULL
29,6009,5,0,0,0,NULL
30,2708,5,2,0,0,NULL
31,1241,6,2,0,0,NULL
32,6046,6,0,0,1,NULL
33,5921,6,1,0,0,NULL
34,1310,6,0,0,0,NULL
35,907,6,1,0,0,NULL
36,5911,6,0,0,0,NULL
37,610,7,2,0,0,NULL
38,2706,7,2,0,2,NULL
39,1246,7,1,0,1,NULL
40,4252,7,0,0,4,NULL
41,3560,7,1,0,0,NULL
42,5596,7,2,0,0,NULL
43,746,8,1,0,0,NULL
44,6141,8,0,1,0,NULL
45,5024,8,1,0,0,NULL
46,5821,8,1,0,0,NULL
47,854,8,2,0,0,NULL
48,4001,8,1,0,1,NULL
49,1241,9,2,2,0,NULL
50,4519,9,2,0,1,NULL
51,2708,9,0,0,2,NULL
52,6397,9,2,0,1,NULL
53,6046,9,0,0,1,NULL
54,5076,9,2,0,0,NULL
55,5719,10,0,0,0,NULL
56,1114,10,0,1,1,NULL
57,1325,10,2,0,0,NULL
58,6009,10,1,0,0,NULL
59,2609,10,2,0,0,NULL
60,1310,10,2,1,2,NULL
61,610,11,2,1,0,NULL
62,2935,11,0,0,1,NULL
63,907,11,1,0,0,NULL
64,5834,11,1,0,1,NULL
65,5036,11,2,0,0,NULL
66,5039,11,1,0,0,NULL
67,5911,12,0,0,0,NULL
68,5921,12,0,0,0,NULL
69,5596,12,0,0,0,NULL
70,6130,12,1,0,1,NULL
71,919,12,0,0,0,NULL
72,6140,12,1,0,0,NULL
73,1547,13,1,0,0,NULL
74,188,13,2,0,1,NULL
75,6378,13,1,0,0,NULL
76,6052,13,2,0,0,NULL
77,3560,13,1,0,0,NULL
78,6632,13,1,0,0,NULL
79,907,14,0,0,0,NULL
80,2609,14,2,0,1,NULL
81,6141,14,0,0,2,NULL
82,2706,14,2,0,0,NULL
83,5024,14,1,0,0,NULL
84,5036,14,2,0,0,NULL
85,2708,15,2,0,0,NULL
86,4252,15,0,0,0,NULL
87,6397,15,1,0,0,NULL
88,5911,15,1,0,1,NULL
89,5821,15,1,0,0,NULL
90,2935,15,0,0,1,NULL
91,5719,16,0,0,0,NULL
92,854,16,1,1,0,NULL
93,188,16,2,0,1,NULL
94,610,16,2,1,3,NULL
95,1241,16,2,0,0,NULL
96,6378,16,0,0,3,NULL
97,5921,17,1,0,2,NULL
98,6130,17,1,0,0,NULL
99,5039,17,1,0,2,NULL
100,6052,17,1,0,5,NULL
101,1246,17,1,0,0,NULL
102,5834,17,0,0,1,NULL
103,5596,18,1,0,0,NULL
104,6632,18,0,0,0,NULL
105,1310,18,2,1,0,NULL
106,5076,18,2,0,2,NULL
107,4001,18,1,0,0,NULL
108,6009,18,1,0,1,NULL
109,3560,19,0,0,1,NULL
110,1547,19,1,0,1,NULL
111,1325,19,2,0,3,NULL
112,1114,19,2,2,4,NULL
113,746,19,1,0,1,NULL
114,6046,19,0,0,0,NULL
115,919,20,0,0,0,NULL
116,4519,20,1,0,0,NULL
117,5821,20,1,0,0,NULL
118,6140,20,0,0,0,NULL
119,2706,20,2,0,0,NULL
120,6378,20,1,0,1,NULL
121,5834,21,0,0,2,NULL
122,2708,21,1,0,0,NULL
123,610,21,2,1,3,NULL
124,5596,21,1,0,3,NULL
125,4001,21,1,0,0,NULL
126,2609,21,0,0,1,NULL
127,1114,22,2,2,0,NULL
128,5076,22,1,0,0,NULL
129,1547,22,1,0,0,NULL
130,2935,22,1,0,3,NULL
131,854,22,1,0,0,NULL
132,5024,22,2,0,1,NULL
133,188,23,2,0,0,NULL
134,5911,23,1,0,0,NULL
135,6046,23,0,0,3,NULL
136,5039,23,2,0,1,NULL
137,6140,23,0,0,1,NULL
138,1246,23,1,0,0,NULL
139,5036,24,0,0,0,NULL
140,919,24,0,0,1,NULL
141,1310,24,2,2,0,NULL
142,1325,24,2,0,2,NULL
143,6632,24,0,1,0,NULL
144,6397,24,0,0,0,NULL
145,1241,25,2,0,0,NULL
146,746,25,1,0,2,NULL
147,3560,25,0,0,1,NULL
148,6009,25,2,0,1,NULL
149,4252,25,0,0,1,NULL
150,6130,25,1,0,1,NULL
151,6141,26,0,0,0,NULL
152,6052,26,0,0,1,NULL
153,5719,26,1,0,0,NULL
154,907,26,2,0,2,NULL
155,4519,26,1,0,0,NULL
156,5921,26,0,0,0,NULL
157,1310,27,1,2,0,NULL
158,1325,27,2,0,1,NULL
159,854,27,1,1,0,NULL
160,1246,27,1,0,2,NULL
161,5024,27,0,2,0,NULL
162,5911,27,1,0,2,NULL
163,2706,28,2,0,0,NULL
164,919,28,0,0,1,NULL
165,6009,28,2,0,1,NULL
166,5036,28,0,0,0,NULL
167,1241,28,2,0,0,NULL
168,1547,28,1,0,0,NULL
169,907,29,1,0,0,NULL
170,6140,29,0,0,1,NULL
171,188,29,2,0,0,NULL
172,2935,29,2,0,2,NULL
173,3560,29,1,0,0,NULL
174,4001,29,2,0,1,NULL
175,5039,30,1,0,0,NULL
176,6052,30,2,0,0,NULL
177,5596,30,2,0,0,NULL
178,5719,30,1,0,1,NULL
179,6397,30,1,0,0,NULL
180,5834,30,1,0,0,NULL
181,2609,31,2,0,0,NULL
182,610,31,2,1,0,NULL
183,6046,31,0,0,0,NULL
184,6632,31,0,0,4,NULL
185,5821,31,0,0,1,NULL
186,746,31,1,0,2,NULL
187,2708,32,0,0,1,NULL
188,5076,32,1,0,0,NULL
189,6130,32,2,0,0,NULL
190,6141,32,0,0,0,NULL
191,1114,32,1,1,0,NULL
192,6378,32,2,0,0,NULL
193,4252,33,1,0,0,NULL
194,5921,33,1,0,0,NULL
195,4001,33,2,0,0,NULL
196,5036,33,2,0,0,NULL
197,4519,33,1,0,0,NULL
198,1325,33,2,0,1,NULL
199,854,34,1,0,0,NULL
200,907,34,1,0,0,NULL
201,2706,34,1,0,0,NULL
202,6046,34,0,0,4,NULL
203,6009,34,1,0,0,NULL
204,6052,34,2,0,0,NULL
205,1246,35,0,0,1,NULL
206,6130,35,1,0,1,NULL
207,5596,35,0,0,0,NULL
208,5039,35,1,0,0,NULL
209,5024,35,2,0,0,NULL
210,6397,35,2,0,0,NULL
211,746,36,1,0,0,NULL
212,5076,36,1,0,0,NULL
213,2935,36,1,0,1,NULL
214,2609,36,2,0,0,NULL
215,5911,36,0,0,1,NULL
216,5719,36,0,0,5,NULL
217,188,37,2,0,2,NULL
218,610,37,2,0,0,NULL
219,3560,37,0,0,0,NULL
220,919,37,0,0,0,NULL
221,2708,37,1,0,0,NULL
222,6378,37,2,0,1,NULL
223,5921,38,0,0,0,NULL
224,6141,38,0,0,1,NULL
225,6140,38,2,0,0,NULL
226,1114,38,0,2,0,NULL
227,1241,38,0,1,0,NULL
228,6632,38,1,0,2,NULL
229,4519,39,1,0,0,NULL
230,1310,39,1,1,0,NULL
231,5834,39,0,0,0,NULL
232,1547,39,1,0,0,NULL
233,5821,39,1,0,0,NULL
234,4252,39,1,0,4,NULL
235,1325,40,2,0,0,NULL
236,6378,40,0,0,3,NULL
237,2609,40,2,0,4,NULL
238,2706,40,2,0,0,NULL
239,188,40,1,0,0,NULL
240,5039,40,0,0,4,NULL
241,907,41,2,0,0,NULL
242,919,41,0,0,0,NULL
243,6397,41,0,0,0,NULL
244,5921,41,0,0,1,NULL
245,6009,41,0,0,0,NULL
246,5024,41,2,0,1,NULL
247,1246,42,1,0,0,NULL
248,1547,42,1,0,0,NULL
249,2935,42,0,0,0,NULL
250,4519,42,1,0,5,NULL
251,610,42,2,1,0,NULL
252,4001,42,2,0,2,NULL
253,5821,43,1,0,0,NULL
254,6046,43,0,0,2,NULL
255,5036,43,2,0,0,NULL
256,1241,43,2,0,1,NULL
257,5719,43,0,0,2,NULL
258,5596,43,1,0,3,NULL
259,1114,44,0,2,0,NULL
260,2708,44,0,0,1,NULL
261,6140,44,0,0,2,NULL
262,854,44,2,0,0,NULL
263,4252,44,0,0,2,NULL
264,6052,44,0,0,0,NULL
265,6141,45,1,0,0,NULL
266,5834,45,0,0,1,NULL
267,5076,45,1,0,0,NULL
268,3560,45,0,0,0,NULL
269,1310,45,1,1,0,NULL
270,6130,45,1,0,1,NULL
271,746,46,1,0,0,NULL
272,5911,46,0,0,0,NULL
273,6397,46,1,0,0,NULL
274,6632,46,0,0,0,NULL
275,6378,46,1,0,0,NULL
276,907,46,2,0,1,NULL
277,5039,47,1,0,0,NULL
278,4001,47,1,0,1,NULL
279,6046,47,1,0,0,NULL
280,5719,47,1,0,2,NULL
281,4252,47,0,0,2,NULL
282,919,47,0,0,3,NULL
283,610,48,2,0,0,NULL
284,1547,48,1,0,0,NULL
285,854,48,2,0,0,NULL
286,5076,48,1,0,2,NULL
287,5921,48,0,0,1,NULL
288,5821,48,1,0,1,NULL
289,2935,49,2,0,0,NULL
290,1310,49,2,2,1,NULL
291,2708,49,0,0,0,NULL
292,746,49,1,0,3,NULL
293,2706,49,0,0,3,NULL
294,6130,49,0,1,2,NULL
295,6632,50,1,0,0,NULL
296,5036,50,2,0,1,NULL
297,5911,50,1,0,3,NULL
298,3560,50,1,0,2,NULL
299,5024,50,1,0,0,NULL
300,4519,50,0,0,0,NULL
301,2609,51,0,0,0,NULL
302,1114,51,2,2,0,NULL
303,6052,51,1,0,1,NULL
304,1241,51,2,0,0,NULL
305,1246,51,0,0,2,NULL
306,6141,51,0,0,2,NULL
307,6009,52,1,0,0,NULL
308,1325,52,0,0,0,NULL
309,6140,52,1,0,0,NULL
310,5834,52,1,0,2,NULL
311,5596,52,0,0,1,NULL
312,188,52,2,0,2,NULL
313,854,53,2,0,0,NULL
314,5039,53,1,0,0,NULL
315,746,53,2,0,2,NULL
316,6378,53,2,0,0,NULL
317,5036,53,1,0,0,NULL
318,3560,53,1,0,1,NULL
319,5719,54,0,0,0,NULL
320,6046,54,1,0,0,NULL
321,6632,54,1,0,3,NULL
322,6130,54,1,0,2,NULL
324,1547,54,1,0,1,NULL
723,610,121,2,1,0,NULL
